Datetime,Tweet Id,Text
2021-01-10 05:26:07+00:00,1348139031599595522,❤️ https://t.co/uewq6oP7rT
2021-01-06 19:01:02+00:00,1346894561239392257,@ClaudiaJNg @Square 🙏🏼
2021-01-06 04:18:34+00:00,1346672480904044547,@dionnewarwick 🙏🏼 feedback always welcome!
2021-01-05 18:40:37+00:00,1346527037909962753,Happy 50th @fipradio #fip50 https://t.co/rwq6kvsQMO
2021-01-05 00:24:29+00:00,1346251187608190976,@iSpeaklatin0 Zero
2021-01-05 00:19:39+00:00,1346249971410956289,@stavanpatel 5 days
2021-01-05 00:19:11+00:00,1346249850489163777,@Mantia If only
2021-01-05 00:03:36+00:00,1346245928491966464,Reset to start the year https://t.co/FSWECjitKh
2021-01-04 23:51:57+00:00,1346242999273943040,We have a while https://t.co/SFYVeCDfs7
2021-01-04 23:35:21+00:00,1346238820048539648,💯 https://t.co/FytDdXRDJd
2021-01-04 21:09:04+00:00,1346202008399691776,@NeerajKA Truth. Every day.
2021-01-04 20:36:14+00:00,1346193743767105536,I love @fipradio. Best and most eclectic radio stream out there! #fip50 https://t.co/AQKa4bkE4U
2021-01-04 20:33:21+00:00,1346193019611930624,@carlsturgess @Square 🙏
2021-01-04 20:14:59+00:00,1346188398545887232,This https://t.co/TbiQfMRdiW
2021-01-04 20:13:46+00:00,1346188092210724864,"Our comments on FinCen’s rule proposal on #bitcoin and “cryptocurrency.”

We believe this rule will do the opposite of what it intends, will leave people out of participating fully in the economy, and that it being rushed prevents better solutions.

https://t.co/VRXYpLg8Mw"
2021-01-03 23:33:25+00:00,1345875948139208706,https://t.co/MUfVr0vWyA
2021-01-03 20:33:32+00:00,1345830676193374208,@MartyBent @TFTC21 Great one
2021-01-03 05:39:11+00:00,1345605607206735873,Happy birthday #Bitcoin
2021-01-03 05:02:42+00:00,1345596424679956481,#Bitcoin Security Guide https://t.co/SscJNiO64E
2021-01-02 21:15:33+00:00,1345478862935785472,@DrJackKruse @michael_saylor 🦪
2021-01-02 21:02:11+00:00,1345475499921870848,🏄‍♂️ https://t.co/LoaP3coju3
2021-01-02 20:56:46+00:00,1345474136756273152,Follow #bitcoin: https://t.co/OfCW18tM4l
2021-01-02 20:50:26+00:00,1345472542522265600,@DrJackKruse @michael_saylor We did with Square. In addition to giving our patents and funding open source Bitcoin development.
2021-01-02 19:57:22+00:00,1345459185945698304,"3,019 sats https://t.co/zmE6L7kyhG"
2021-01-01 07:44:03+00:00,1344912255331098625,@dionnewarwick @Twitter 💙
2021-01-01 05:00:01+00:00,1344870974676635648,🧡
2020-12-31 00:45:16+00:00,1344444478334136321,2030
2020-12-29 20:49:24+00:00,1344022731646386210,@code_jide It’s the one
2020-12-23 17:46:34+00:00,1341802394443640832,This is very well done @bluewalletio #Bitcoin https://t.co/b8Glsa6YHF
2020-12-22 03:51:03+00:00,1341229741290864641,Incredibly disappointing and increasingly irrelevant https://t.co/LKVVtWWdJ1
2020-12-21 01:13:44+00:00,1340827762345406464,@chrismessina @wongmjane We aren’t able to move fast enough.
2020-12-21 00:16:21+00:00,1340813319607787520,$600!?…of fiat!?
2020-12-20 05:54:41+00:00,1340536078235660288,@iamb We don’t!
2020-12-19 01:32:27+00:00,1340107696213639169,"Yes, you are. https://t.co/atHgoAnJdZ"
2020-12-18 19:45:17+00:00,1340020330341883904,@jayhinz @CashApp 💯
2020-12-18 19:19:31+00:00,1340013846098968576,Aok @RonConway !! https://t.co/6zjf075cUf
2020-12-18 07:53:26+00:00,1339841187813814273,🇳🇬 https://t.co/bHD9qV41b5
